var_name,dc_logic,filtrage,repeat_permut,random_permut,load_general_exception_filters,accuracy,DP,OP,f1,precision,recall,confusion_matrix,Number_rules,Number_conditions,Average_conditions_per_rule,Std_conditions_per_rule,Number_correlation_POS,Number_correlation_NEG,fairnes_true,stat_parity,equal_odds
false_1_Model_1_sans_DC_logic_Filtrage_True_5_0,False,0,1,False,True,0.8321817902656221,1.0,0.0,0.605272661610689,0.532739987285441,0.7006688963210701,"[4582, 735]",4,27,6.75,3.561951712193751,1,0,False,0.8255034294968231,0.20276329937957302
false_1_Model_1_sans_DC_logic_Filtrage_True_5_0,False,0,1,False,True,0.8321817902656221,1.0,0.0,0.605272661610689,0.532739987285441,0.7006688963210701,"[358, 838]",4,27,6.75,3.561951712193751,1,0,False,0.8255034294968231,0.20276329937957302
false_1_Model_1_sans_DC_logic_Filtrage_False_5_0,False,0,1,False,False,0.8340242591739591,1.0,0.0,0.6044639590193921,0.525111252383979,0.7120689655172411,"[4606, 747]",5,28,5.6,3.9293765408777,0,0,False,0.8214291377932681,0.22206419987501602
false_1_Model_1_sans_DC_logic_Filtrage_False_5_0,False,0,1,False,False,0.8340242591739591,1.0,0.0,0.6044639590193921,0.525111252383979,0.7120689655172411,"[334, 826]",5,28,5.6,3.9293765408777,0,0,False,0.8214291377932681,0.22206419987501602
false_1_Model_1_sans_DC_logic_Filtrage_Fairness_True_5F_100,False,100,1,False,True,0.8321817902656221,1.0,0.0,0.605272661610689,0.532739987285441,0.7006688963210701,"[4582, 735]",4,27,6.75,3.561951712193751,1,0,True,0.8255034294968231,0.20276329937957302
false_1_Model_1_sans_DC_logic_Filtrage_Fairness_True_5F_100,False,100,1,False,True,0.8321817902656221,1.0,0.0,0.605272661610689,0.532739987285441,0.7006688963210701,"[358, 838]",4,27,6.75,3.561951712193751,1,0,True,0.8255034294968231,0.20276329937957302
false_1_Model_1_sans_DC_logic_Filtrage_Fairness_True_5F_50,False,50,1,False,True,0.8321817902656221,1.0,0.0,0.605272661610689,0.532739987285441,0.7006688963210701,"[4582, 735]",4,27,6.75,3.561951712193751,1,0,True,0.8255034294968231,0.20276329937957302
false_1_Model_1_sans_DC_logic_Filtrage_Fairness_True_5F_50,False,50,1,False,True,0.8321817902656221,1.0,0.0,0.605272661610689,0.532739987285441,0.7006688963210701,"[358, 838]",4,27,6.75,3.561951712193751,1,0,True,0.8255034294968231,0.20276329937957302
false_1_Model_1_sans_DC_logic_Filtrage_Fairness_False_5F_100,False,100,1,False,False,0.8340242591739591,1.0,0.0,0.6044639590193921,0.525111252383979,0.7120689655172411,"[4606, 747]",5,28,5.6,3.9293765408777,0,0,True,0.8214291377932681,0.22206419987501602
false_1_Model_1_sans_DC_logic_Filtrage_Fairness_False_5F_100,False,100,1,False,False,0.8340242591739591,1.0,0.0,0.6044639590193921,0.525111252383979,0.7120689655172411,"[334, 826]",5,28,5.6,3.9293765408777,0,0,True,0.8214291377932681,0.22206419987501602
false_1_Model_1_sans_DC_logic_Filtrage_Fairness_False_5F_50,False,50,1,False,False,0.8340242591739591,1.0,0.0,0.6044639590193921,0.525111252383979,0.7120689655172411,"[4606, 747]",5,28,5.6,3.9293765408777,0,0,True,0.8214291377932681,0.22206419987501602
false_1_Model_1_sans_DC_logic_Filtrage_Fairness_False_5F_50,False,50,1,False,False,0.8340242591739591,1.0,0.0,0.6044639590193921,0.525111252383979,0.7120689655172411,"[334, 826]",5,28,5.6,3.9293765408777,0,0,True,0.8214291377932681,0.22206419987501602
false_1_Model_1_avec_DC_logic_Filtrage_True_5_0,True,0,1,False,True,0.8321817902656221,1.0,0.0,0.605272661610689,0.532739987285441,0.7006688963210701,"[4582, 735]",4,24,6.0,4.242640687119285,1,0,False,0.8255034294968231,0.20276329937957302
false_1_Model_1_avec_DC_logic_Filtrage_True_5_0,True,0,1,False,True,0.8321817902656221,1.0,0.0,0.605272661610689,0.532739987285441,0.7006688963210701,"[358, 838]",4,24,6.0,4.242640687119285,1,0,False,0.8255034294968231,0.20276329937957302
false_1_Model_1_avec_DC_logic_Filtrage_False_5_0,True,0,1,False,False,0.8340242591739591,1.0,0.0,0.6044639590193921,0.525111252383979,0.7120689655172411,"[4606, 747]",5,25,5.0,4.2895221179054435,0,0,False,0.8214291377932681,0.22206419987501602
false_1_Model_1_avec_DC_logic_Filtrage_False_5_0,True,0,1,False,False,0.8340242591739591,1.0,0.0,0.6044639590193921,0.525111252383979,0.7120689655172411,"[334, 826]",5,25,5.0,4.2895221179054435,0,0,False,0.8214291377932681,0.22206419987501602
false_1_Model_1_avec_DC_logic_Filtrage_Fairness_True_5F_100,True,100,1,False,True,0.8340242591739591,1.0,0.0,0.6044639590193921,0.525111252383979,0.7120689655172411,"[4606, 747]",5,25,5.0,4.2895221179054435,0,0,True,0.8214291377932681,0.22206419987501602
false_1_Model_1_avec_DC_logic_Filtrage_Fairness_True_5F_100,True,100,1,False,True,0.8340242591739591,1.0,0.0,0.6044639590193921,0.525111252383979,0.7120689655172411,"[334, 826]",5,25,5.0,4.2895221179054435,0,0,True,0.8214291377932681,0.22206419987501602
false_1_Model_1_avec_DC_logic_Filtrage_Fairness_True_5F_50,True,50,1,False,True,0.8340242591739591,1.0,0.0,0.6044639590193921,0.525111252383979,0.7120689655172411,"[4606, 747]",5,25,5.0,4.2895221179054435,0,0,True,0.8214291377932681,0.22206419987501602
false_1_Model_1_avec_DC_logic_Filtrage_Fairness_True_5F_50,True,50,1,False,True,0.8340242591739591,1.0,0.0,0.6044639590193921,0.525111252383979,0.7120689655172411,"[334, 826]",5,25,5.0,4.2895221179054435,0,0,True,0.8214291377932681,0.22206419987501602
